name,rating,review_count,price,latitude,longitude,stars,michelin,latBin,lonBin
Emily,4.0,855,2,40.68351,-73.96643,0,0,40.6,-74.0
Cafe Mogador,4.0,2000,2,40.727258767439,-73.9845085144043,0,0,40.6,-74.0
Esme,4.5,363,2,40.73322607409529,-73.95492695812946,0,0,40.6,-74.0
Rice kitchen,5.0,107,2,40.725166,-74.003712,0,0,40.6,-74.2
Boutros,4.5,153,3,40.6901481293837,-73.9935445412993,0,0,40.6,-74.0
Nón Lá,4.5,128,2,40.725287,-73.987563,0,0,40.6,-74.0
Ugly Baby,4.5,369,2,40.67795,-73.9961,0,0,40.6,-74.0
Claro,4.0,264,2,40.6773587963142,-73.9861984489446,0,0,40.6,-74.0
Olmsted,4.0,436,3,40.67713,-73.96869,0,0,40.6,-74.0
La Sirène-Soho,4.5,1652,3,40.7243642217227,-74.005708694458,0,0,40.6,-74.2
Berimbau Brazilian Kitchen,4.5,143,2,40.73007,-74.00366,0,0,40.6,-74.2
Lucali,4.0,1769,2,40.6818,-74.00024,0,0,40.6,-74.2
Jack's Wife Freda,4.0,2063,2,40.72213,-73.99756,0,0,40.6,-74.0
Kaikagetsu NYC,4.5,121,4,40.72104,-73.98848,0,0,40.6,-74.0
Little Owl,4.0,1355,2,40.73240001181511,-74.00532068435112,0,0,40.6,-74.2
Kimika,4.0,243,3,40.720572,-73.995206,0,0,40.6,-74.0
Mission Ceviche,4.5,546,3,40.7692325,-73.9578759,0,0,40.6,-74.0
Electric Lemon,3.5,218,3,40.754553,-74.002057,0,0,40.6,-74.2
Coco Bistro,4.5,135,2,40.70757,-74.00184,0,0,40.6,-74.2
Sofreh,4.0,321,2,40.6798617,-73.973984,0,0,40.6,-74.0
Miss Ada,4.5,334,3,40.689436,-73.9723809,0,0,40.6,-74.0
3 Times,4.0,186,2,40.73285,-73.99104,0,0,40.6,-74.0
Clinton Hall,3.5,719,2,40.70803,-74.014869,0,0,40.6,-74.2
Celestine,4.0,250,3,40.704676,-73.987975,0,0,40.6,-74.0
Traif,4.5,1932,4,40.710658,-73.958872,0,0,40.6,-74.0
Casa Ora,4.5,128,3,40.707943,-73.9437707,0,0,40.6,-74.0
High Lúa Vietnamese Kitchen,4.5,225,2,40.71258,-73.96045,0,0,40.6,-74.0
Salma,5.0,56,2,40.730369942268375,-73.9837222575225,0,0,40.6,-74.0
The Bao,4.0,1325,2,40.72939,-73.9889199,0,0,40.6,-74.0
Las Santas,4.5,221,2,40.6882,-73.97953,0,0,40.6,-74.0
Boqueria,4.0,832,3,40.771522,-73.956073,0,0,40.6,-74.0
Au Cheval,4.5,569,3,40.7183878,-74.0015522,0,0,40.6,-74.2
Beauty & Essex,4.0,3627,3,40.720434786101286,-73.98686057623863,0,0,40.6,-74.0
La Lanterna Di Vittorio,4.0,1543,2,40.73069,-74.00015,0,0,40.6,-74.2
Momofuku Noodle Bar - Uptown,4.0,389,2,40.76802583631109,-73.9829243,0,0,40.6,-74.0
Freemans,4.0,2129,2,40.721988,-73.992466,0,0,40.6,-74.0
Ci Siamo,4.5,80,3,40.7532112,-73.998305,0,0,40.6,-74.0
Burger & Lobster - Flatiron NYC,4.0,5576,2,40.74007,-73.99344,0,0,40.6,-74.0
Walter's,4.0,572,2,40.6894111633301,-73.973258972168,0,0,40.6,-74.0
Ampersand,4.5,236,2,40.7386178790617,-73.9834206895483,0,0,40.6,-74.0
Roberta's,4.0,3068,2,40.70493,-73.93399,0,0,40.6,-74.0
Cecconi's Dumbo,3.5,897,3,40.7033063330116,-73.9916549604523,0,0,40.6,-74.0
Jajaja Mexicana,4.5,1089,2,40.7141530317142,-73.9904247969389,0,0,40.6,-74.0
Peak,4.5,206,4,40.7541644,-74.0009082,0,0,40.6,-74.2
Bricolage,4.0,587,3,40.67792,-73.97975,0,0,40.6,-74.0
Hart's Restaurant,4.0,95,3,40.68146,-73.95589,0,0,40.6,-74.0
