name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars,yelp url
Campton Place,2019.0,37.78923,-122.40665,San Francisco,California,94108,Indian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/campton-place,2.0,https://www.yelp.com/biz/campton-place-san-francisco
Coi,2019.0,37.79812,-122.40331,San Francisco,California,94133,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/coi,2.0,http://www.yelp.com/biz/coi-san-francisco
Acquerello,2019.0,37.79167,-122.42131,San Francisco,California,94109,Italian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/acquerello,2.0,https://www.yelp.com/biz/acquerello-san-francisco
Providence,2019.0,34.083523,-118.33019,Los Angeles,California,90028,Seafood,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/providence,2.0,https://www.yelp.com/biz/providence-los-angeles-2
n/naka,2019.0,34.02526,-118.41206,Los Angeles,California,90034,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/n-naka,2.0,https://www.yelp.com/biz/n-naka-los-angeles
Vespertine,2019.0,34.024204,-118.38166,Los Angeles,California,90232,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/vespertine,2.0,https://www.yelp.com/biz/vespertine-culver-city
Manresa,2019.0,37.22761,-121.98071,South San Francisco,California,95030,Contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/manresa,3.0,https://www.yelp.com/biz/manresa-los-gatos-2?osq=manresa
Benu,2019.0,37.78521,-122.39876,San Francisco,California,94105,Asian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/benu,3.0,https://www.yelp.com/biz/benu-san-francisco-4
Quince,2019.0,37.79762,-122.40337,San Francisco,California,94133,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/quince,3.0,https://www.yelp.com/biz/quince-san-francisco
Atelier Crenn,2019.0,37.79835,-122.43586,San Francisco,California,94123,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/atelier-crenn,3.0,https://www.yelp.com/biz/atelier-crenn-san-francisco
The French Laundry,2019.0,38.40443,-122.36474,San Francisco,California,94599,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-french-laundry,3.0,http://www.yelp.com/biz/the-french-laundry-yountville-2
The Restaurant at Meadowood,2019.0,38.52025,-122.46479,San Francisco,California,94574,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-restaurant-at-meadowood,3.0,http://www.yelp.com/biz/the-restaurant-at-meadowood-st-helena
SingleThread,2019.0,38.612164,-122.869705,San Francisco,California,95448,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/singlethread,3.0,https://www.yelp.com/biz/singlethread-farm-restaurant-inn-healdsburg-7?osq=Single+Thread+Restaurant
