name,year,latitude,longitude,city,region,zipCode,cuisine,price_range,url,stars
Agern,2019,40.75234,-73.9775,New_York,New_York_City,10017,Scandinavian,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/agern,1
Caviar_Russe,2019,40.760685,-73.97355,New_York,New_York_City,10022,Contemporary,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/caviar-russe,1
Tuome,2019,40.724194,-73.9828,New_York,New_York_City,10009,Fusion,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/tuome,1
Tempura_Matsui,2019,40.74839,-73.97474,New_York,New_York_City,10158,Japanese,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/tempura-matsui,1
Sushi_Yasuda,2019,40.75108,-73.97364,New_York,New_York_City,10017,Japanese,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-yasuda,1
Sushi_Amane,2019,40.75133,-73.971725,New_York,New_York_City,10017,Japanese,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-amane,1
Café_Boulud,2019,40.77439,-73.96414,New_York,New_York_City,10021,French,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cafe-boulud,1
Claro,2019,40.677395,-73.98615,New_York,New_York_City,11215,Mexican,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/claro,1
Satsuki,2019,40.801243,-73.95187,New_York,New_York_City,10036,Japanese,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/satsuki,1
Sushi_Noz,2019,40.77384,-73.958275,New_York,New_York_City,10075,Japanese,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-noz,1
Sushi_Inoue,2019,40.810448,-73.943726,New_York,New_York_City,10027,Japanese,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-inoue,1
Meadowsweet,2019,40.710354,-73.96317,New_York,New_York_City,11212,Mediterranean,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/meadowsweet,1
Casa_Enríque,2019,40.743492,-73.95425,New_York,New_York_City,11101,Mexican,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/casa-enrique,1
Peter_Luger,2019,40.70986,-73.96263,New_York,New_York_City,11211,Steakhouse,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/peter-luger,1
Oxomoco,2019,40.730057,-73.95538,New_York,New_York_City,11222,Mexican,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/oxomoco,1
The_Finch,2019,40.68704,-73.96297,New_York,New_York_City,11238,American,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-finch,1
Faro,2019,40.707584,-73.923035,New_York,New_York_City,11237,American,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/faro,1
Blue_Duck_Tavern,2019,38.905373,-77.05128,Washington_DC,Washington_DC,20037,American,3,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/blue-duck-tavern,1
Tail_Up_Goat,2019,38.9235,-77.043274,Washington_DC,Washington_DC,20009,Contemporary,2,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/tail-up-goat,1
Komi,2019,38.910107,-77.03836,Washington_DC,Washington_DC,20036,Mediterranean,4,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/komi,1
Sushi_Taro,2019,38.909992,-77.03834,Washington_DC,Washington_DC,20036,Japanese,4,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/sushi-taro,1
Plume,2019,38.906,-77.03671,Washington_DC,Washington_DC,20036,European,4,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/plume,1
Siren_by_RW,2019,38.907776,-77.035446,Washington_DC,Washington_DC,20005,Seafood,3,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/siren-by-rw,1
Bresca,2019,38.91584,-77.0321,Washington_DC,Washington_DC,20000,Contemporary,2,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/bresca,1
The_Dabney,2019,38.906292,-77.024666,Washington_DC,Washington_DC,20001,American,2,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/the-dabney,1
