name,review_count,rating,price_rating,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars,yelp_url
Coi,783,4,4,2019,37.79812,-122.40331,San_Francisco,California,94133,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/coi,2,http://www.yelp.com/biz/coi-san-francisco
Acquerello,1168,4.5,4,2019,37.79167,-122.42131,San_Francisco,California,94109,Italian,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/acquerello,2,https://www.yelp.com/biz/acquerello-san-francisco
Providence,2766,4.5,4,2019,34.083523,-118.33019,Los_Angeles,California,90028,Seafood,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/providence,2,https://www.yelp.com/biz/providence-los-angeles-2
n/naka,844,4.5,4,2019,34.02526,-118.41206,Los_Angeles,California,90034,Contemporary,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/n-naka,2,https://www.yelp.com/biz/n-naka-los-angeles
Vespertine,303,4.5,4,2019,34.024204,-118.38166,Los_Angeles,California,90232,Contemporary,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/vespertine,2,https://www.yelp.com/biz/vespertine-culver-city
Manresa,1259,4,4,2019,37.22761,-121.98071,South_San_Francisco,California,95030,Contemporary,4,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/manresa,3,https://www.yelp.com/biz/manresa-los-gatos-2?osq=manresa
Benu,1110,4.5,4,2019,37.78521,-122.39876,San_Francisco,California,94105,Asian,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/benu,3,https://www.yelp.com/biz/benu-san-francisco-4
Quince,1521,4,4,2019,37.79762,-122.40337,San_Francisco,California,94133,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/quince,3,https://www.yelp.com/biz/quince-san-francisco
Atelier_Crenn,787,4.5,4,2019,37.79835,-122.43586,San_Francisco,California,94123,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/atelier-crenn,3,https://www.yelp.com/biz/atelier-crenn-san-francisco
The_French_Laundry,2751,4.5,4,2019,38.40443,-122.36474,San_Francisco,California,94599,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-french-laundry,3,http://www.yelp.com/biz/the-french-laundry-yountville-2
